length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight,class,F,I,M
0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,15,True,False,False
0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15,False,False,True
0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,False,False,True
0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,False,False,True
0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15,False,False,True
0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15,False,True,False
0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,True,False,False
0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,True,False,False
0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15,False,False,True
0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15,False,False,True
0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15,True,False,False
0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15,True,False,False
0.545,0.44,0.165,0.744,0.2875,0.204,0.25,15,False,False,True
0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15,False,True,False
0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15,False,True,False
0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,False,False,True
0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15,False,False,True
0.64,0.49,0.14,1.194,0.4445,0.238,0.375,15,False,False,True
0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,False,False,True
0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,True,False,False
0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15,True,False,False
0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,False,True,False
0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15,False,False,True
0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,True,False,False
0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15,False,False,True
0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15,True,False,False
0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15,True,False,False
0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15,True,False,False
0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,False,False,True
0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15,True,False,False
