length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight,class,F,I,M
0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9,False,False,True
0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9,False,True,False
0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15,False,False,True
0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,False,True,False
0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7,True,False,False
0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6,False,True,False
0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,False,False,True
0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,True,False,False
0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4,False,True,False
0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11,True,False,False
0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8,False,True,False
0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7,False,False,True
0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8,False,False,True
0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4,False,True,False
0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19,False,False,True
0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11,True,False,False
0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13,False,False,True
0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11,True,False,False
0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5,False,True,False
0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11,False,True,False
0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10,False,False,True
0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,False,False,True
0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,False,True,False
0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11,False,False,True
0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,True,False,False
0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13,True,False,False
0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9,True,False,False
