length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight,class,F,I,M
0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8,False,True,False
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,True,False,False
0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9,False,False,True
0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9,True,False,False
0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6,False,True,False
0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8,False,True,False
0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9,False,False,True
0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14,True,False,False
0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18,False,True,False
0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,False,False,True
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,False,False,True
0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6,False,True,False
0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,False,True,False
0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7,False,True,False
0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13,False,True,False
0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9,True,False,False
0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,False,False,True
0.71,0.565,0.2,1.601,0.706,0.321,0.45,11,False,False,True
0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16,True,False,False
0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,True,False,False
0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9,False,True,False
0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8,False,False,True
0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6,False,True,False
0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,False,True,False
0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9,False,False,True
0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12,True,False,False
0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10,False,False,True
0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13,False,False,True
0.52,0.425,0.125,0.79,0.372,0.205,0.19,8,False,False,True
0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7,False,True,False
0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10,False,False,True
0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11,False,True,False
0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,True,False,False
0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10,False,False,True
0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9,False,True,False
0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,False,True,False
0.4,0.315,0.09,0.33,0.151,0.068,0.08,6,False,True,False
0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8,True,False,False
0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6,False,True,False
0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11,False,False,True
0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11,True,False,False
0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10,False,False,True
0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,False,False,True
0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9,True,False,False
0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,False,False,True
0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,False,False,True
